Starting time:1454185080204246
Ending time:1454185150194418
1454185080466679,-1,-7,-19,-1,1,0,-1,-1
1454185080468681,0,1,6,-1,-1,0,-1,-1
1454185080468681,-3,-6,5,1,-2,-2,-1,-2
1454185080488695,0,-1,-2,-3,-3,-1,0,0
1454185080488695,-2,1,-4,-3,0,-3,-2,-1
1454185080490696,-1,1,2,6,6,0,0,0
1454185080490696,-1,-7,-7,-7,-5,-1,-3,-3
1454185080503706,0,1,6,2,1,1,-3,-1
1454185080503706,1,1,13,4,0,0,0,1
1454185080510711,-1,-3,-7,-4,-5,-2,-1,-1
1454185080510711,-1,0,-3,-3,-1,-1,-2,0
1454185080526722,-2,1,1,-3,2,1,0,1
1454185080526722,-1,0,-1,1,-1,-2,-1,0
1454185080527723,-1,-2,2,4,0,1,0,-2
1454185080527723,-1,0,4,-9,-3,-2,-3,-3
1454185080548739,-3,-6,-9,2,-4,-2,-2,-2
1454185080548739,-1,1,-6,-2,-1,3,-1,-2
1454185080550739,0,4,6,2,2,0,-1,-1
1454185080550739,-2,-3,-6,-1,-1,0,0,0
1454185080563759,-2,-1,3,-4,-3,-2,0,-2
1454185080563759,1,6,2,3,1,1,0,-3
1454185080569769,-2,-8,0,-4,-3,-1,0,-1
1454185080569769,0,-3,-3,1,0,-1,0,0
1454185080586757,-1,-2,0,-1,2,1,-1,0
1454185080586757,-1,0,4,-1,-3,-2,-3,0
1454185080587754,-3,-3,-10,-4,-2,0,-1,-3
1454185080587754,0,2,5,4,3,-1,-2,0
1454185080608779,0,3,2,1,0,1,0,0
1454185080608779,-1,0,-5,-2,-3,-2,0,-1
1454185080610759,-1,-3,0,-4,-3,-1,-3,-2
1454185080610759,0,-2,-9,-2,-2,-2,-1,-2
1454185080623830,-1,-1,-2,-3,-2,-2,-2,-2
1454185080623830,0,-2,0,-2,2,-1,1,-2
1454185080630799,0,0,-1,3,1,-1,0,-3
1454185080630799,-2,-3,-4,2,-2,0,-1,-2
1454185080646841,-1,0,0,1,-3,-1,-1,0
1454185080646841,-2,-6,9,-1,-1,0,0,-2
1454185080648814,0,1,-7,0,-1,-4,-2,1
1454185080648814,-2,-1,-3,-6,-4,-2,1,0
