Starting time:1454184785805187
Ending time:1454184861472356
1454184786091373,-1,-2,-1,0,-1,-4,-2,-1
1454184786091373,-1,-7,-1,-2,-2,0,0,-1
1454184786104383,-2,-4,1,-3,-1,1,-1,-2
1454184786104383,-1,-3,0,-2,-3,-1,-1,-1
1454184786113389,1,4,0,1,0,-1,-1,1
1454184786113389,1,0,-3,7,1,-3,-1,-1
1454184786128400,-2,-1,-1,0,-1,0,-1,-3
1454184786128400,-2,-6,-17,-18,-5,1,-1,-1
1454184786128400,0,1,17,0,-1,-1,-2,-1
1454184786128400,2,-1,-13,-1,-4,0,0,-1
1454184786150415,0,-1,9,6,1,-3,-4,1
1454184786150415,2,0,-3,2,-2,-3,-2,-1
1454184786151402,0,-1,-9,-4,-2,-2,-1,-1
1454184786151402,-2,-1,7,-3,-1,0,-2,0
1454184786173440,-1,1,0,-6,2,2,1,-1
1454184786173440,-1,1,2,2,1,-2,-2,-1
1454184786174422,-2,-2,-3,-1,-1,-2,0,0
1454184786174422,-2,-1,4,-1,0,-1,-3,-1
1454184786188450,-1,-1,-7,-2,-4,-2,0,-1
1454184786188450,-3,1,-1,2,0,1,-1,1
1454184786189443,-4,-9,3,-5,-1,-1,-1,0
1454184786189443,-3,-1,3,-2,-2,-5,0,-2
1454184786210466,1,-2,-11,-4,-3,-4,-1,-1
1454184786210466,-2,-3,7,4,-2,1,-4,-1
1454184786211460,0,0,-3,4,-1,-2,1,-1
1454184786211460,-2,-2,-13,1,-2,0,0,-1
1454184786233579,2,1,19,-20,-2,0,1,0
1454184786233579,-1,2,6,4,-2,-3,0,-1
1454184786234554,-2,-1,-3,0,0,1,-1,-1
1454184786234554,0,-2,-8,-1,-1,0,0,-1
1454184786248560,1,2,3,7,0,0,-1,-2
1454184786248560,0,2,-7,-5,0,0,0,-1
1454184786248560,0,1,15,1,-1,0,0,0
1454184786248560,-1,1,2,0,0,1,0,-3
1454184786270604,-3,-4,-10,-1,-3,-1,-2,-2
1454184786270604,-2,4,10,2,2,-1,-1,-2
1454184786271548,-1,-3,-11,-3,0,1,-1,-3
1454184786271548,-1,-5,5,-5,-2,-4,0,-2
1454184786293620,0,-2,-8,0,0,1,-3,-1
1454184786293620,-1,-1,-11,0,1,0,0,-1
1454184786294564,-3,-5,-11,-1,-1,-3,-2,1
1454184786294564,0,3,8,0,-3,-2,-1,-1
1454184786308605,-1,1,7,2,2,1,1,0
1454184786308605,-3,-1,-2,-6,-1,2,0,-2
1454184786308605,-1,1,-1,3,0,0,-3,-2
1454184786308605,0,-5,0,-11,-2,-1,-1,1
1454184786330647,0,3,-5,1,-2,-1,-3,-1
1454184786330647,0,-3,0,6,1,0,-3,-2
1454184786331599,1,2,13,2,1,-1,-1,-2
1454184786331599,-2,-3,-22,-3,-2,-2,-1,-2
1454184786353636,-1,-3,-5,-3,-3,-2,-2,-2
1454184786353636,0,0,5,0,-3,1,0,-1
1454184786353636,-1,-1,-1,2,-2,-1,-3,-2
1454184786353636,1,5,6,5,2,-2,0,0
1454184786368646,1,4,3,3,0,0,0,0
1454184786368646,0,-6,-5,-2,-1,-2,0,0
1454184786368646,0,2,9,-3,-3,-4,-1,-1
1454184786368646,1,3,0,1,-1,0,-2,-1
1454184786390689,0,3,-1,-2,-1,0,0,-1
1454184786390689,-2,0,7,3,-1,-2,-2,-1
1454184786391634,1,1,-5,-2,0,1,1,-1
1454184786391634,-2,0,9,0,1,1,0,0
1454184786413678,0,-4,-4,-8,-4,-7,-1,-2
1454184786413678,0,1,0,2,1,-2,-2,0
1454184786413678,-3,-1,-9,-5,-2,2,0,-2
1454184786413678,-2,-6,-3,4,-2,-1,0,-2
1454184786427717,-2,-1,0,5,-1,1,-1,1
1454184786427717,-1,-2,4,-7,-2,-1,1,-1
1454184786428693,-2,-6,-11,-7,-3,0,-2,0
1454184786428693,0,0,-21,-4,-2,-1,-1,-3
1454184786450852,-1,-5,3,-2,-2,-2,-1,-1
1454184786450852,-1,0,3,1,-2,-4,0,2
1454184786451823,-2,-1,17,6,1,1,0,0
1454184786451823,0,2,1,0,0,1,-1,1
1454184786472869,-1,1,8,-2,-1,-1,0,-1
1454184786472869,-1,-1,-9,-4,-3,-2,-4,-1
1454184786473841,-1,1,-8,-2,0,-1,-1,-3
1454184786473841,-1,-1,0,-2,-3,-1,-1,0
1454184786487881,-2,-2,-3,4,1,1,0,0
1454184786487881,0,3,9,1,1,2,-1,-2
1454184786488850,0,-1,-4,-2,-1,-2,-1,1
1454184786488850,-1,-3,-5,-2,-1,-1,-2,-1
1454184786510894,-4,-3,-4,-5,-1,3,-1,-1
1454184786510894,-2,-2,-3,-1,-4,-2,0,-4
1454184786511866,1,-1,-8,-1,0,-2,0,-2
1454184786511866,0,-2,8,1,2,-3,-1,-1
